都道府県,食料,住居,水道光熱費,家具家事用品,衣類,保険医療,交通通信,教育,教養娯楽,諸雑費
北海道,98.7,82.6,116.3,99.3,103.8,100.2,99.5,93.2,97.1,100.9
青森県,97.4,95.7,109.0,96.2,97.1,101.0,100.5,93.2,96.4,97.8
岩手県,96.6,89.4,111.0,102.2,97.8,100.4,99.7,90.1,99.8,97.0
宮城県,97.2,97.1,101.3,104.0,95.6,100.9,97.5,99.5,99.3,99.2
秋田県,97.3,86.1,107.2,103.1,102.4,98.9,98.0,87.1,98.0,100.2
山形県,101.7,91.3,111.6,93.5,105.7,97.0,99.7,105.4,99.1,97.6
福島県,100.0,92.5,108.6,100.9,106.2,99.9,98.8,90.9,96.6,102.9
茨城県,99.1,96.3,101.9,93.0,97.5,98.0,96.7,89.5,95.2,101.4
栃木県,99.5,87.9,96.7,100.3,115.7,99.1,97.7,101.9,94.9,99.8
群馬県,99.1,87.5,91.2,96.9,98.2,100.0,97.1,79.9,95.5,98.9
埼玉県,100.9,109.3,93.0,101.8,103.1,101.0,100.6,103.7,104.5,100.7
千葉県,100.6,102.0,100.4,101.0,91.7,101.1,99.1,97.9,102.0,99.6
東京都,103.1,133.2,94.6,102.8,96.5,101.7,104.4,108.3,104.0,99.5
神奈川県,102.5,124.7,97.6,101.9,101.7,99.0,104.4,112.6,104.8,102.1
新潟県,100.2,90.9,98.5,97.5,105.9,99.4,98.1,97.1,99.5,100.6
富山県,100.4,87.3,102.2,101.7,100.0,101.8,97.7,85.7,97.2,102.6
石川県,103.0,86.0,103.0,99.6,107.2,101.9,98.9,103.2,98.2,101.3
福井県,103.1,86.2,93.5,108.7,99.1,102.4,99.1,103.4,95.2,101.9
山梨県,99.7,94.3,94.7,100.2,107.2,97.4,98.4,87.7,98.3,100.0
長野県,94.1,87.1,99.7,97.0,102.5,98.3,99.8,94.7,98.1,102.6
岐阜県,97.4,84.1,92.9,94.1,101.9,99.3,100.4,92.5,97.4,99.8
静岡県,98.7,97.2,96.8,98.0,97.4,100.2,99.5,82.0,99.9,98.4
愛知県,98.2,95.3,95.7,97.2,99.6,99.7,98.5,96.4,100.7,99.2
三重県,100.4,95.6,96.8,98.6,99.4,99.1,98.7,98.9,95.7,98.1
滋賀県,99.5,88.3,101.4,97.6,104.3,100.6,100.6,109.0,96.8,101.1
京都府,100.5,92.3,101.4,100.4,98.7,97.6,102.6,112.3,101.9,101.4
大阪府,99.4,97.6,98.7,99.9,99.1,99.6,101.0,108.9,102.3,96.6
兵庫県,99.9,100.0,99.5,101.7,105.4,98.4,100.8,102.2,101.5,103.5
奈良県,94.3,84.2,101.9,98.9,93.3,99.3,100.4,95.2,99.3,99.3
和歌山県,100.9,99.0,102.0,100.0,99.5,101.3,98.9,105.1,96.8,99.6
鳥取県,102.3,80.2,104.4,100.4,105.9,100.4,97.9,88.5,94.6,99.2
島根県,102.4,84.2,110.5,99.2,101.3,99.2,99.5,97.9,97.2,101.0
岡山県,99.0,86.3,106.4,100.2,106.6,101.2,95.7,87.4,96.0,101.2
広島県,101.9,89.1,104.6,97.2,95.5,99.9,99.3,97.6,96.4,99.4
山口県,101.3,89.1,108.2,99.6,106.4,103.1,97.4,86.0,95.5,99.5
徳島県,100.5,89.2,104.6,101.7,107.7,98.2,97.0,97.8,98.3,99.8
香川県,98.4,85.7,105.6,100.3,96.4,100.3,100.0,95.3,96.4,103.0
愛媛県,100.1,85.7,107.4,103.0,100.1,99.8,97.7,91.2,98.4,97.7
高知県,102.6,88.9,102.6,98.2,102.0,100.8,97.5,93.6,96.8,100.5
福岡県,95.7,85.3,105.3,100.2,97.0,100.0,97.2,95.8,97.2,101.7
佐賀県,97.0,82.6,107.6,96.1,103.9,98.6,98.2,94.8,92.1,98.8
長崎県,99.7,92.8,110.4,100.8,112.3,100.1,100.4,87.1,96.2,101.8
熊本県,101.9,81.8,102.3,102.9,101.3,100.1,99.3,92.9,95.4,100.2
大分県,98.9,83.8,104.3,99.6,95.6,97.2,97.1,106.5,92.9,97.8
宮崎県,97.9,85.2,100.5,101.3,97.5,98.9,97.8,89.6,91.1,97.2
鹿児島県,99.3,80.5,100.6,94.1,90.1,100.4,99.2,91.3,92.3,96.9
沖縄県,103.5,84.8,101.4,99.4,100.2,100.8,98.2,93.6,95.8,94.8
