都道府県,人口密度,県内総生産額,事業所数,コンビニ数,飲食店数,病院数,家賃
北 海 道,240.5,182688,233037,2194,28225,499,3723
青 森 県,405.1,44115,59958,404,7022,81,3671
岩 手 県,344.5,45162,59500,398,5838,76,4182
宮 城 県,739.8,88166,99539,777,9691,115,4582
秋 田 県,319.3,34773,50457,309,4983,56,3936
山 形 県,389.6,38304,57515,344,5729,55,4141
福 島 県,453.9,71746,87931,478,8271,105,4031
茨 城 県,733.9,115113,119168,899,11762,161,4088
栃 木 県,661.9,82322,88879,608,9205,91,3995
群 馬 県,865.6,78250,93367,606,9002,116,3685
埼 玉 県,2811.4,206782,249078,1670,25409,292,6332
千 葉 県,1750.7,198112,194877,1694,21992,250,5105
東 京 都,9528.5,931283,653819,4319,83397,592,8631
神奈川県,6205.8,302185,299573,2373,34503,294,7092
新 潟 県,508.1,88336,116715,679,10953,111,4313
富 山 県,578.6,43566,53414,314,4889,88,3966
石 川 県,829.1,45449,61799,334,6324,84,4014
福 井 県,730.3,31271,42848,238,4187,60,3520
山 梨 県,874.8,31299,44056,280,4729,52,3901
長 野 県,650.7,77522,109493,587,11135,116,3631
岐 阜 県,918.9,71198,101760,548,10913,90,3609
静 岡 県,1345.8,158763,178889,1111,18880,151,4799
愛 知 県,2504.6,354475,320608,2204,37708,283,4947
三 重 県,881.8,76889,80173,458,8086,89,3837
滋 賀 県,1080.8,59681,56704,326,4858,51,4115
京 都 府,2223.8,98254,119145,652,13587,162,5306
大 阪 府,6643.3,373150,413110,1877,50699,491,5847
兵 庫 県,1988.8,192325,224343,1189,28991,321,5693
奈 良 県,1594.7,35206,48034,235,4477,73,4100
和歌山県,864.1,35833,48411,212,4853,78,3569
鳥 取 県,636.6,17676,26533,154,2769,40,4110
島 根 県,534.6,23508,35971,189,3151,44,4178
岡 山 県,866,72734,82145,482,7422,150,4392
広 島 県,1230.7,108429,130789,753,13750,213,4181
山 口 県,823,57789,63240,390,6364,119,3178
徳 島 県,748.1,29371,37298,164,3832,98,4008
香 川 県,970.9,36470,48510,206,4881,80,4144
愛 媛 県,827.9,47767,65145,344,6616,128,3527
高 知 県,626.1,22627,36668,183,4631,119,4013
福 岡 県,1847.4,181899,219212,1380,24978,400,4113
佐 賀 県,623.6,26811,38335,251,4043,94,3545
長 崎 県,821.6,43930,63652,345,6491,128,5485
熊 本 県,638.8,55664,77119,496,7674,176,3827
大 分 県,648.4,41822,54521,315,5733,133,3639
宮 崎 県,596.8,36060,53269,295,6548,123,3830
鹿児島県,497.5,52866,77863,447,8079,217,4411
沖 縄 県,1226.2,38818,65164,385,10243,81,4109
