,English,Math,Japanese,Cluster
0,20,52,76,2
1,79,55,100,2
2,31,60,59,0
3,85,66,100,2
4,98,96,42,0
5,86,62,78,2
6,54,63,61,0
7,80,64,38,0
8,57,78,91,2
9,44,52,20,1
10,58,71,45,0
11,18,65,24,1
12,41,58,11,1
13,43,13,38,0
14,69,36,80,2
15,74,34,54,0
16,58,50,2,1
17,79,78,72,2
18,49,92,46,0
19,47,53,73,2
20,88,95,89,2
21,76,88,39,0
22,59,99,95,2
23,56,62,29,1
24,89,95,31,1
25,48,43,89,2
26,32,91,10,1
27,96,78,39,0
28,56,4,20,1
29,78,32,73,2
30,42,62,55,0
31,73,73,75,2
32,56,89,85,2
33,59,57,76,2
34,58,51,45,0
35,64,53,43,0
36,46,46,29,1
37,79,95,77,2
38,18,59,34,1
39,95,47,99,2
40,81,50,65,0
41,76,43,89,2
42,83,86,84,2
43,93,89,38,0
44,67,31,52,0
45,30,3,33,1
46,64,47,85,2
47,90,86,75,2
48,54,40,71,2
49,4,27,43,0
50,68,62,43,0
51,46,96,53,0
52,91,85,10,1
53,61,23,48,0
54,69,38,93,2
55,46,99,73,2
56,51,43,68,2
57,75,78,76,2
58,46,94,87,2
59,67,70,53,0
60,79,78,18,1
61,48,74,44,0
62,30,33,77,2
63,48,57,0,1
64,4,11,63,0
65,30,95,64,0
66,55,61,58,0
67,67,78,67,2
68,97,74,23,1
69,77,66,42,0
70,98,86,64,0
71,83,73,19,1
72,94,99,89,2
73,25,63,19,1
74,90,96,21,1
75,70,81,31,1
76,52,56,99,2
77,83,69,65,0
78,53,99,10,1
79,98,94,71,2
80,75,91,84,2
81,67,63,74,2
82,33,65,84,2
83,36,31,21,1
84,76,58,64,0
85,53,95,45,0
86,51,73,40,0
87,100,39,84,2
88,20,80,55,0
89,41,52,58,0
90,92,68,11,1
91,45,76,23,1
92,98,100,47,0
93,62,16,71,2
94,56,45,41,0
95,20,9,26,1
96,78,66,13,1
97,44,100,78,2
98,91,70,93,2
99,79,54,49,0
100,50,57,64,0
101,96,71,69,2
102,99,94,92,2
103,74,31,67,2
104,69,18,44,0
105,13,33,32,1
106,3,36,62,0
107,12,55,11,1
108,25,63,42,0
109,43,20,6,1
110,49,82,40,0
111,40,32,70,2
112,90,75,29,1
113,34,41,29,1
114,93,36,89,2
115,64,19,69,2
116,56,24,48,0
117,48,64,78,2
118,72,63,64,0
119,47,67,44,0
120,25,68,30,1
121,31,78,63,0
122,62,34,61,0
123,38,72,27,1
124,43,64,48,0
125,50,71,27,1
126,67,85,54,0
127,70,59,44,0
128,75,97,11,1
129,95,46,57,0
130,35,73,14,1
131,13,49,29,1
132,93,78,64,0
133,78,9,0,1
134,44,75,68,2
135,62,91,84,2
136,46,43,76,2
137,58,99,52,0
138,86,73,42,0
139,41,60,3,1
140,95,73,12,1
141,51,57,70,2
142,60,66,55,0
143,30,30,16,1
144,86,47,91,2
145,51,60,35,1
146,69,75,53,0
147,90,51,79,2
148,50,66,5,1
149,100,59,92,2
150,74,67,59,0
151,97,53,73,2
152,46,31,12,1
153,31,8,69,2
154,62,84,11,1
155,44,3,68,2
156,62,65,75,2
157,36,54,8,1
158,56,95,61,0
159,70,50,79,2
160,81,69,19,1
161,77,54,32,1
162,75,22,39,0
163,80,99,66,2
164,48,57,85,2
165,66,69,77,2
166,38,60,44,0
167,75,95,67,2
168,86,61,67,2
169,98,30,67,2
170,76,65,53,0
171,99,46,53,0
172,79,67,63,0
173,52,69,56,0
174,63,55,32,1
175,55,79,29,1
176,49,32,72,2
177,70,74,50,0
178,74,94,77,2
179,47,34,40,0
180,17,17,79,2
181,39,81,79,2
182,64,43,93,2
183,33,60,44,0
184,1,44,4,1
185,56,44,78,2
186,95,85,50,0
187,52,33,57,0
188,81,93,81,2
189,92,78,39,0
190,72,39,65,0
191,50,96,33,1
192,19,25,1,1
193,37,42,69,2
194,45,57,60,0
195,67,60,56,0
196,61,69,27,1
197,8,67,57,0
198,70,81,89,2
199,44,2,4,1
